start_frame,end_frame,class
10976,10982,Rear Uppercut
10983,10992,Lead Hook
12433,12444,Jab
12445,12455,Cross
12456,12470,Jab
12486,12496,Jab
12497,12504,Cross
12505,12520,Jab
12536,12545,Jab
12546,12553,Cross
12554,12567,Jab
12583,12592,Jab
12597,12608,Jab
12614,12623,Jab
12624,12632,Cross
13016,13027,Jab
13028,13035,Cross
13036,13050,Jab
13063,13073,Jab
13074,13082,Cross
13083,13097,Jab
13111,13121,Jab
13122,13131,Cross
13132,13148,Jab
13152,13162,Rear Uppercut
13163,13171,Lead Uppercut
13172,13179,Rear Uppercut
13180,13187,Lead Uppercut
13188,13194,Rear Uppercut
13195,13201,Lead Uppercut
13202,13208,Rear Uppercut
13210,13218,Lead Uppercut
13219,13226,Rear Uppercut
13227,13234,Lead Uppercut
13235,13241,Rear Uppercut
13242,13249,Lead Uppercut
13250,13258,Rear Uppercut
13259,13267,Lead Uppercut
13268,13275,Rear Uppercut
13276,13283,Lead Uppercut
13284,13289,Rear Uppercut
13290,13298,Lead Uppercut
13299,13306,Rear Uppercut
13307,13314,Lead Uppercut
13315,13321,Rear Uppercut
13322,13330,Lead Uppercut
13331,13337,Rear Uppercut
13338,13344,Lead Uppercut
13345,13352,Rear Uppercut
13353,13360,Lead Uppercut
13706,13713,Rear Uppercut
13714,13719,Lead Uppercut
13720,13727,Rear Uppercut
13728,13733,Lead Uppercut
13734,13741,Rear Uppercut
13742,13747,Lead Uppercut
13748,13755,Rear Uppercut
13756,13762,Lead Uppercut
13763,13768,Rear Uppercut
13769,13774,Lead Uppercut
13775,13781,Rear Uppercut
13782,13788,Lead Uppercut
13789,13795,Rear Uppercut
13796,13802,Lead Uppercut
13803,13809,Rear Uppercut
13810,13817,Lead Uppercut
13818,13823,Rear Uppercut
13824,13830,Lead Uppercut
13831,13838,Rear Uppercut
13839,13844,Lead Uppercut
13845,13852,Rear Uppercut
13853,13861,Lead Uppercut
13862,13868,Rear Uppercut
13869,13876,Lead Uppercut
13877,13883,Rear Uppercut
13884,13892,Lead Uppercut
13893,13899,Rear Uppercut
13900,13906,Lead Uppercut
13907,13914,Rear Uppercut
13915,13921,Lead Uppercut
13922,13929,Rear Uppercut
13930,13935,Lead Uppercut
13936,13943,Rear Uppercut
13944,13950,Lead Uppercut
13951,13957,Rear Uppercut
13958,13963,Lead Uppercut
13964,13970,Rear Uppercut
13971,13978,Lead Uppercut
13979,13985,Rear Uppercut
13986,13993,Lead Uppercut
13994,13999,Rear Uppercut
14000,14007,Lead Uppercut
14008,14013,Rear Uppercut
14014,14020,Lead Uppercut
14021,14027,Rear Uppercut
14028,14033,Lead Uppercut
14034,14040,Rear Uppercut
14041,14047,Lead Uppercut
14048,14054,Rear Uppercut
14055,14061,Lead Uppercut
14509,14516,Lead Uppercut
14517,14524,Rear Uppercut
14525,14531,Lead Uppercut
14532,14539,Rear Uppercut
14540,14547,Lead Uppercut
14548,14554,Rear Uppercut
14555,14561,Lead Uppercut
14562,14569,Rear Uppercut
14570,14577,Lead Uppercut
